State,Beer Control State,Wine Control State,Liquor Control State,Sale Hours Avg Per Day,Beer Grocery Sales,Wine Grocery Sales,Liquor Grocery Sales,Purchase Age,Consumption Age,Underage Exception,Gallons Ethanol per Capita,Latitude,Longitude
Alabama,Yes,Yes,Yes,22.28571429,Yes,Yes,No,21,21,No,2.01,32.806671,-86.79113
Alaska,No,No,No,21,Some,Some,Some,21,21,Yes,2.94,61.370716,-152.404419
Arizona,No,No,No,20,Yes,Yes,Yes,21,21,Yes,2.31,33.729759,-111.431221
Arkansas,No,No,No,19.42857143,Yes,Yes,No,21,21,No,1.8,34.969704,-92.373123
California,No,No,No,20,Yes,Yes,Yes,21,21,Yes,2.33,36.116203,-119.681564
Colorado,No,No,No,19,Some,No,No,21,21,Yes,2.81,39.059811,-105.311104
Connecticut,No,No,No,16,Yes,No,No,21,21,Yes,2.45,41.597782,-72.755371
Delaware,No,No,No,18,No,No,No,21,21,Yes,3.72,39.318523,-75.507141
Florida,No,No,No,17,Yes,Yes,No,21,21,Yes,2.65,27.766279,-81.686783
Georgia,No,No,No,19.14440994,Yes,Yes,No,21,21,Yes,1.94,33.040619,-83.643074
Hawaii,No,No,No,20,Yes,Yes,Yes,21,21,Yes,2.63,21.094318,-157.498337
Idaho,No,No,Yes,20,Yes,Yes,No,21,21,Yes,2.92,44.240459,-114.478828
Illinois,No,No,No,24,Yes,Yes,Yes,21,21,Yes,2.32,40.349457,-88.986137
Indiana,No,No,No,20,Yes,Yes,Yes,21,21,Yes,2.17,39.849426,-86.258278
Iowa,No,No,Yes,19.71428571,Yes,Yes,Yes,21,21,Yes,2.4,42.011539,-93.210526
Kansas,Yes,Yes,Yes,17,Some,No,No,21,21,Yes,1.92,38.5266,-96.726486
Kentucky,No,No,No,21,Yes,No,No,21,21,Yes,1.98,37.66814,-84.670067
Louisiana,No,No,No,24,Yes,Yes,Yes,21,21,Yes,2.59,31.169546,-91.867805
Maine,No,No,Yes,19,Yes,Yes,Yes,21,21,Yes,2.81,44.693947,-69.381927
Massachusetts,No,No,No,18,Yes,Yes,Yes,21,21,No,2.57,42.230171,-71.530106
Michigan,No,No,Yes,18.28571429,Yes,Yes,Yes,21,21,Yes,2.34,43.326618,-84.536095
Minnesota,No,No,No,18,Some,No,No,21,21,Yes,2.77,45.694454,-93.900192
Mississippi,No,No,Yes,19.14440994,Yes,No,No,21,21,Yes,2.23,32.741646,-89.678696
Missouri,No,No,No,16.71428571,Yes,Yes,Yes,21,21,Yes,2.49,38.456085,-92.288368
Montana,No,No,Yes,18,Yes,Yes,No,21,21,Yes,3.11,46.921925,-110.454353
Nebraska,No,No,No,19,Yes,yes,Yes,21,21,Yes,2.23,41.12537,-98.268082
Nevada,No,No,no,24,Yes,Yes,Yes,21,21,Yes,3.46,38.313515,-117.055374
New Hampshire,No,No,Yes,19,Yes,Yes,No,21,21,Yes,4.76,43.452492,-71.563896
New Jersey,No,No,No,24,Some,Some,Some,21,21,Yes,2.34,40.298904,-74.521011
New Mexico,No,No,No,16.28571429,Yes,Yes,Yes,21,21,Yes,2.27,34.840515,-106.248482
New York,No,No,No,19.42857143,Yes,No,No,21,21,Yes,2.22,42.165726,-74.948051
North Carolina,No,No,Yes,18.57142857,Yes,Yes,No,21,21,Yes,2.13,35.630066,-79.806419
North Dakota,No,No,No,17.71428571,Yes,No,No,21,21,Yes,3.26,47.528912,-99.784012
Ohio,No,No,Yes,21,Yes,Yes,Some,21,21,Yes,2.04,40.388783,-82.764915
Oklahoma,No,No,No,20,Some,No,No,21,21,Yes,1.88,35.565342,-96.928917
Oregon,No,No,Yes,18.5,Yes,Yes,No,21,21,yes,2.75,44.572021,-122.070938
Pennsylvania,No,Yes,Yes,19.14285714,Yes,Yes,No,21,21,Yes,2.36,40.590752,-77.209755
Rhode Island,No,No,No,15.57142857,No,No,No,21,21,No,2.57,41.680893,-71.51178
South Carolina,No,No,Yes,16,yes,Yes,No,21,21,Yes,2.22,33.856892,-80.945007
South Dakota,No,No,No,19.14440994,Yes,Yes,Yes,21,21,Yes,2.87,44.299782,-99.438828
Tennessee,No,No,No,18.42857143,Yes,Yes,No,21,21,Yes,2.14,35.747845,-86.692345
Texas,No,No,No,12.42857143,Yes,Yes,No,21,21,Yes,2.34,31.054487,-97.563461
Utah,Yes,Yes,Yes,15,Some,No,No,21,21,Yes,1.34,40.150032,-111.862434
Vermont,No,No,Yes,18,No,Yes,No,21,21,Yes,2.08,44.045876,-72.710686
Virginia,No,No,Yes,20,No,Yes,No,21,21,Yes,2.14,37.769337,-78.169968
Washington,No,No,No,20,Yes,Yes,Yes,21,21,Yes,2.26,47.400902,-121.490494
West Virginia,No,No,Yes,18.14285714,Yes,Yes,Yes,21,21,Yes,1.76,38.491226,-80.954453
Wisconsin,No,No,No,24,Yes,Yes,Yes,21,21,Yes,2.98,44.268543,-89.616508
Wyoming,No,Yes,Yes,20,Yes,Yes,Yes,21,21,Yes,2.67,42.755966,-107.30249
