Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure
East Asia and Pacific,China,Upper middle income,Non-IDA,1994,November,Harbin Water Supply Project,Harbin SAUR Water Supply Company,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Harbin, Heilongjiang Province",30,Local/Municipal,Not Available,,Not Available,,,1994,50,0,20,20,Cubic meters per day (in thousands),224.64,N/A,,,Not Available,,Saur (50% / France),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1994,May,Zhongshan Tanzhou Water Plant,Zhongshan Tanzhou Water Supply Company Ltd.,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Tanzhou City, Guangdong Province ",35,Local/Municipal,Not Available,,Not Available,,,1994,58,0,10.8,10.8,Number of installed connections ( in thousands),100,N/A,,,Not Available,,"NWS Holdings Limited (29% / Hong Kong, China), SUEZ (29% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1995,February,Shenyang No. 8 Water Plant ,Shenyang Sino-French Water Supply Company Ltd.,Brownfield,"Build, rehabilitate, operate, and transfer",Cancelled,,Water and sewerage,Treatment plant,Potable water treatment plant,"Shenyang City, Lioaning Province",30,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1995,50,0,150,150,Cubic meters per day (in thousands),449.28,N/A,Shenyang No. 8 Water Plant,,Not Available,,"NWS Holdings Limited (19% / Hong Kong, China), SUEZ (19% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1996,April,Da Chang Water Treatment Plant,"Shanghai Water Treatment Plant, Dachang Water Treatment Plant  ",Greenfield project,"Build, operate, and transfer",Cancelled,07/01/2004,Water and sewerage,Treatment plant,Potable water treatment plant,"Da Chang/Pu KI District, Shanghai municipality",20,Local/Municipal,Not Available,,Not Available,,,1996,100,0,73,73,Cubic meters per day (in thousands),400,N/A,,,Direct negotiation,,"RWE (50% / Germany), Bovis Lend Lease Holdings Ltd (50% / United Kingdom)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1996,January,Nanchang Shuanggang Water Supply Company Ltd.,Nanchang Shuanggang Water Supply Company Ltd.,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Nanchang city, Jianxi Province",28,Local/Municipal,Not Available,,Not Available,,,1996,50,0,35.3,35.3,Cubic meters per day (in thousands),199.584,N/A,,,Not Available,,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (25% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1996,June,Nanhai Water Treatment Plant,Nanhai Tap Water Share Company,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,Nanhai City,20,Local/Municipal,Not Available,,Not Available,,,1996,50,0,16,16,Cubic meters per day (in thousands),249.696,N/A,,,Not Available,,Giantmost Ltd. (50% / United States),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1996,June,Zaija Water (Shenyang No.9),,Greenfield project,"Build, operate, and transfer",Cancelled,06/01/2001,Water and sewerage,Treatment plant,Potable water treatment plant,"Shenyang city, Liaoning province",20,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1996,50,0,25,25,Cubic meters per day (in thousands),150.336,N/A,,,Not Available,,Others (50% / ..),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,June,Jiangmen Water,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Jiangmen city, Guangdong province",20,Local/Municipal,Not Available,,Not Available,,,1997,80,0,60,60,Cubic meters per day (in thousands),500.256,N/A,,,Not Available,,"Cathay International Holdings (80% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,July,Lianjiang Water Supply,Lianjing Sino-French  Water Supply Company,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Lianjing, Guangdong province",30,Local/Municipal,Not Available,,Not Available,,,1997,60,0,16.7,16.7,Cubic meters per day (in thousands),100.224,N/A,,,Not Available,,"NWS Holdings Limited (30% / Hong Kong, China), SUEZ (30% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,July,Shenyang Shifosi Water Plant,Shenyang Shifosi Water Project Phase I and II,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Shenyang, Lioning Province",20,Local/Municipal,Not Available,,Not Available,,,1997,50,0,48.2,48.2,Cubic meters per day (in thousands),371.52,N/A,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (50% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
